symbol,date,open,high,low,close,adj_close,volume
XOM,2022-07-25,78.1248,79.8705,77.469,79.7376,79.7376,17536400
XOM,2022-07-26,80.7567,80.8896,78.8692,79.4274,79.4274,15141200
XOM,2022-07-27,80.0035,81.5277,79.2236,81.1466,81.1466,18047000
XOM,2022-07-28,81.6872,82.6354,80.6504,82.0948,82.0948,20353100
XOM,2022-07-29,83.6988,86.4193,83.3886,85.8965,85.8965,29825800
XOM,2022-08-01,84.0001,84.4963,82.6177,83.7254,83.7254,20793200
XOM,2022-08-02,83.9115,84.3634,83.1405,83.3621,83.3621,16722500
XOM,2022-08-03,83.6722,83.6722,80.4554,80.6592,80.6592,23580800
XOM,2022-08-04,80.0301,80.0566,76.5917,77.2652,77.2652,31821500
XOM,2022-08-05,76.5297,79.4806,76.4588,78.3818,78.3818,17408000
XOM,2022-08-08,78.5236,79.4009,78.178,78.8249,78.8249,14458500
XOM,2022-08-09,79.7996,81.1821,79.711,80.2782,80.2782,19083400
XOM,2022-08-10,80.3579,81.3416,79.0375,81.0403,81.0403,18302000
XOM,2022-08-11,82.1767,84.3778,81.8187,83.3846,83.3846,18797900
XOM,2022-08-12,82.7493,84.1273,82.4183,84.1094,84.1094,15058200
XOM,2022-08-15,81.0045,82.973,80.226,82.6062,82.6062,20755200
XOM,2022-08-16,82.3467,83.1162,81.6845,81.8366,81.8366,14038200
XOM,2022-08-17,81.6666,83.4025,81.3535,82.4988,82.4988,13678000
XOM,2022-08-18,83.3488,85.2816,83.2951,84.4494,84.4494,17770400
XOM,2022-08-19,84.2526,85.1831,83.9304,84.181,84.181,16128600
XOM,2022-08-22,83.5904,84.5478,82.1946,84.1183,84.1183,16019900
XOM,2022-08-23,85.4963,88.0554,85.4068,87.6885,87.6885,23764700
XOM,2022-08-24,87.6975,88.5564,87.1158,88.2075,88.2075,17050300
XOM,2022-08-25,88.5117,89.3528,87.778,88.6638,88.6638,15305700
XOM,2022-08-26,88.3775,89.3975,87.1695,87.5722,87.5722,15531400
XOM,2022-08-29,87.8496,90.8739,87.8138,89.5854,89.5854,23059200
XOM,2022-08-30,88.0106,88.2433,85.7379,86.1763,86.1763,17086800
XOM,2022-08-31,84.1362,86.6506,83.7425,85.5321,85.5321,18340900
XOM,2022-09-01,84.4852,85.0668,82.5793,83.9931,83.9931,16423000
XOM,2022-09-02,86.2121,86.6058,85.1026,85.5321,85.5321,18206800
XOM,2022-09-06,86.0421,86.4269,84.5657,84.9594,84.9594,19201500
XOM,2022-09-07,83.3846,84.6373,82.5883,84.2346,84.2346,16274700
XOM,2022-09-08,84.6999,85.38,83.8588,84.9236,84.9236,18759200
XOM,2022-09-09,86.3642,86.7937,85.2905,86.3463,86.3463,17158000
XOM,2022-09-12,87.3753,88.7533,86.6864,87.3395,87.3395,16118900
XOM,2022-09-13,86.4448,87.4917,84.9236,85.2995,85.2995,18229100
XOM,2022-09-14,86.069,88.1896,86.0332,87.3932,87.3932,22655700
XOM,2022-09-15,86.0958,86.3821,84.1541,84.8521,84.8521,21092300
XOM,2022-09-16,85.0668,85.3084,82.3198,83.4025,83.4025,37874700
XOM,2022-09-19,81.434,83.653,81.425,83.3935,83.3935,15342100
XOM,2022-09-20,82.973,83.152,81.9977,82.7135,82.7135,14712500
XOM,2022-09-21,83.7246,84.002,81.3087,81.3803,81.3803,17332400
XOM,2022-09-22,82.4988,82.9104,80.9955,81.0403,81.0403,16139400
XOM,2022-09-23,78.2933,78.2933,75.9221,76.7274,76.7274,27738800
XOM,2022-09-26,75.9669,77.148,75.0632,75.1437,75.1437,22043400
XOM,2022-09-27,76.6022,77.8101,75.8864,76.7185,76.7185,17307300
XOM,2022-09-28,77.0585,79.9039,76.8796,79.5102,79.5102,19543300
XOM,2022-09-29,78.9018,79.9576,77.9622,79.3492,79.3492,17896000
XOM,2022-09-30,78.8928,79.6713,78.1233,78.1233,78.1233,21357600
XOM,2022-10-03,80.5661,82.642,80.2797,82.2482,82.2482,23881300
XOM,2022-10-04,83.4293,85.3263,82.9551,85.2458,85.2458,22133700
XOM,2022-10-05,85.6753,89.4691,85.5947,88.6907,88.6907,34857700
XOM,2022-10-06,88.1091,91.4287,87.9838,91.3213,91.3213,29124700
XOM,2022-10-07,91.4377,92.4488,89.6391,90.3997,90.3997,24507600
XOM,2022-10-10,90.8113,91.2945,88.3327,88.4401,88.4401,16786100
XOM,2022-10-11,86.9906,89.2633,86.57,87.6885,87.6885,17804100
XOM,2022-10-12,87.2411,88.5028,86.9995,88.0733,88.0733,12635800
XOM,2022-10-13,87.2859,91.6703,87.1516,91.1513,91.1513,22019100
XOM,2022-10-14,90.4802,91.4824,88.6191,88.7533,88.7533,15222000
XOM,2022-10-17,90.4355,91.2408,89.9255,90.0328,90.0328,14283200
XOM,2022-10-18,90.856,91.5808,88.7891,90.1939,90.1939,14065400
XOM,2022-10-19,90.5965,93.0482,90.5786,92.8693,92.8693,20921700
XOM,2022-10-20,93.3435,93.952,92.5293,92.9946,92.9946,17649000
XOM,2022-10-21,93.4598,95.2047,92.9767,94.7215,94.7215,22814100
XOM,2022-10-24,94.5425,96.35,94.0593,95.3836,95.3836,17024200
XOM,2022-10-25,95.2136,96.0368,94.0146,94.7394,94.7394,15719800
XOM,2022-10-26,95.0794,96.4842,94.8467,95.8668,95.8668,17383800
XOM,2022-10-27,97.0032,98.0501,96.1174,96.2337,96.2337,18214000
XOM,2022-10-28,97.9427,99.5086,96.7437,99.0522,99.0522,28169400
XOM,2022-10-31,97.9785,101.0297,97.9248,99.1507,99.1507,26401800
XOM,2022-11-01,100.5465,100.7255,99.0075,100.1349,100.1349,22213100
XOM,2022-11-02,99.8396,100.3049,97.8085,98.0769,98.0769,20654200
XOM,2022-11-03,97.1553,100.0544,96.9137,99.4101,99.4101,17103700
XOM,2022-11-04,101.1102,101.5576,99.1417,100.4928,100.4928,17541500
XOM,2022-11-07,100.5823,101.996,100.3318,101.6829,101.6829,16008000
XOM,2022-11-08,101.5397,102.5956,100.7523,102.005,102.005,14661000
XOM,2022-11-09,101.1997,101.3608,97.1463,97.4416,97.4416,19522800
XOM,2022-11-10,98.5959,99.0522,96.2516,98.8733,98.8733,20146700
